laporan,label
Hujan emas yang membuat warga kaya mendadak terjadi di Galaksi Andromeda dua hari yang lalu. mengakibatkan burung-burung menjadi raksasa. Banyak yang mengatakan bahwa ini hanyalah cerita bohong belaka.,Invalid
Gempa bumi raksasa akibat ulah alien terjadi di pusat inti Bumi pada pagi hari ini. mengakibatkan dinosaurus hidup kembali di tengah kota. Tidak ada bukti yang jelas mengenai kejadian ini hingga saat ini.,Invalid
"Banjir rob melanda wilayah Garut tepatnya di Kecamatan Banyuwangi, Desa Cikahuripan dua hari yang lalu. Sebanyak 9 sekolah mengalami kerusakan. Hingga saat ini belum ada laporan korban jiwa, namun pendataan masih dilakukan.",Valid
"Hujan emas yang membuat warga kaya mendadak terjadi di permukaan Planet Mars seminggu yang lalu. mengakibatkan semua warga menjadi takut dan bersembunyi. Namun, banyak yang tidak mempercayai kejadian ini.",Invalid
"Letusan gunung berapi melanda wilayah Lombok tepatnya di Kecamatan Tanjung, Desa Sukamaju tiga hari yang lalu. Kerugian material diperkirakan mencapai Rp 64 miliar. Warga diminta tetap waspada terhadap potensi bencana susulan di wilayah tersebut.",Valid
"Angin puting beliung melanda wilayah Lombok tepatnya di Kecamatan Soreang, Desa Mekarwangi pada malam hari tadi. Jembatan utama yang menghubungkan dua desa ambruk. Warga diimbau untuk tetap tenang dan mengikuti arahan dari petugas di lapangan.",Valid
Kekeringan akibat kutukan dukun terjadi di Kutub Selatan seminggu yang lalu. menyebabkan langit berubah warna menjadi ungu. Warga setempat mengaku hanya mendengar cerita ini dari grup WhatsApp.,Invalid
"Gempa bumi dengan kekuatan 6.5 SR melanda wilayah Bali tepatnya di Kecamatan Tanjung, Desa Jaya Baru tiga hari yang lalu. Jembatan utama yang menghubungkan dua desa ambruk. Posko darurat telah didirikan untuk menampung warga yang kehilangan tempat tinggal.",Valid
Tsunami api yang membakar laut terjadi di Langit Ketujuh pada pagi hari ini. menyebabkan hewan-hewan mulai menari di jalan. Kejadian ini ternyata hanya prank dari sekelompok orang.,Invalid
"Gempa bumi dengan kekuatan 5.0 SR melanda wilayah Jakarta tepatnya di Kecamatan Kalianda, Desa Sidomulyo dua hari yang lalu. Lebih dari 277 hektar lahan pertanian terendam banjir. Proses evakuasi warga yang terdampak masih berlangsung hingga malam ini.",Valid
Tsunami pelangi yang mengubah warna laut terjadi di kota Bikini Bottom tiga hari yang lalu. mengakibatkan burung-burung menjadi raksasa. Tidak ada bukti yang jelas mengenai kejadian ini hingga saat ini.,Invalid
"Tanah longsor melanda wilayah Lombok tepatnya di Kecamatan Banyuwangi, Desa Mekarwangi pada pukul 08.33 WIB. Sedikitnya 7 korban jiwa dilaporkan. Proses evakuasi warga yang terdampak masih berlangsung hingga malam ini.",Valid
"Angin puting beliung melanda wilayah Sulawesi Utara tepatnya di Kecamatan Ubud, Desa Margodadi pada pagi hari ini. Banyak pohon tumbang yang menutup akses jalan utama. Petugas masih melakukan pendataan kerugian dan korban di lokasi kejadian.",Valid
"Kekeringan melanda wilayah Lampung tepatnya di Kecamatan Tanjung, Desa Mekarwangi pada sore hari kemarin. Lebih dari 277 hektar lahan pertanian terendam banjir. Proses evakuasi warga yang terdampak masih berlangsung hingga malam ini.",Valid
"Letusan gunung berapi melanda wilayah Maluku tepatnya di Kecamatan Karangasem, Desa Mekarwangi saat subuh tadi. Kerugian material diperkirakan mencapai Rp 64 miliar. Pihak BPBD setempat langsung menangani kejadian ini dengan mendirikan posko darurat.",Valid
"Letusan gunung berapi melanda wilayah Bali tepatnya di Kecamatan Pamekasan, Desa Jaya Baru dua hari yang lalu. Sedikitnya 7 korban jiwa dilaporkan. Pihak BPBD setempat langsung menangani kejadian ini dengan mendirikan posko darurat.",Valid
"Kebakaran hutan melanda wilayah Lombok tepatnya di Kecamatan Pamekasan, Desa Pulosari pada malam hari kemarin. Akses jalan utama terputus akibat material longsor. Proses evakuasi warga yang terdampak masih berlangsung hingga malam ini.",Valid
"Banjir bandang melanda wilayah Lombok tepatnya di Kecamatan Ciputat, Desa Sidomulyo pada pagi hari ini. Tercatat 25 warga mengalami luka-luka. Bantuan darurat berupa tenda dan makanan mulai didistribusikan ke warga terdampak.",Valid
"Kekeringan melanda wilayah Yogyakarta tepatnya di Kecamatan Kalianda, Desa Pasirjaya pada pukul 08.33 WIB. Sebanyak 125 warga terpaksa mengungsi ke tempat yang lebih aman. Tim SAR dikerahkan ke lokasi untuk membantu proses evakuasi warga.",Valid
"Angin topan membawa naga raksasa terjadi di kota Bikini Bottom pada pukul 09.53 WIB. mengakibatkan semua orang di wilayah itu bisa terbang. Warga menjadi panik akibat berita ini, meskipun tidak ada bukti.",Invalid
"Lava meletus dari gunung es di tengah kota terjadi di Benua Mu yang hilang tiga hari yang lalu. menyebabkan semute berubah menjadi raksasa. Warga menjadi panik akibat berita ini, meskipun tidak ada bukti.",Invalid
"Tsunami melanda wilayah NTT tepatnya di Kecamatan Ciputat, Desa Sidomulyo dua hari yang lalu. Sebanyak 5 ternak dilaporkan mati akibat bencana. Bantuan darurat berupa tenda dan makanan mulai didistribusikan ke warga terdampak.",Valid
"Hujan berlian yang membuat warga takut terjadi di Kota Gaib Saranjana pada pukul 09.53 WIB. menyebabkan air laut berubah menjadi sirup manis. Namun, banyak yang tidak mempercayai kejadian ini.",Invalid
